Frame 123, Green Left Cheek: 116.87173579109063, Green Right Cheek: 109.49685059208869
Frame 124, Green Left Cheek: 116.81515616999488, Green Right Cheek: 109.49533887629126
Frame 125, Green Left Cheek: 116.80824372759857, Green Right Cheek: 109.55656336608718
Frame 126, Green Left Cheek: 116.77649769585254, Green Right Cheek: 109.6376921138826
Frame 127, Green Left Cheek: 116.79877112135176, Green Right Cheek: 109.70748299319727
Frame 128, Green Left Cheek: 116.74807987711213, Green Right Cheek: 109.70017636684304
Frame 129, Green Left Cheek: 116.8489503328213, Green Right Cheek: 109.7031997984379
Frame 130, Green Left Cheek: 116.80670762928827, Green Right Cheek: 109.72134038800705
Frame 131, Green Left Cheek: 116.68740399385561, Green Right Cheek: 109.60644998740237
Frame 132, Green Left Cheek: 116.83845366103431, Green Right Cheek: 109.57923910304862
Frame 133, Green Left Cheek: 116.72350230414746, Green Right Cheek: 109.51398337112623
Frame 134, Green Left Cheek: 116.76267281105991, Green Right Cheek: 109.48299319727892
Frame 135, Green Left Cheek: 116.78853046594982, Green Right Cheek: 109.4424288233812
Frame 136, Green Left Cheek: 116.78597030209933, Green Right Cheek: 109.41546989166036
Frame 137, Green Left Cheek: 116.726318484383, Green Right Cheek: 109.38977072310405
Frame 138, Green Left Cheek: 116.83742959549411, Green Right Cheek: 109.38599143361049
Frame 139, Green Left Cheek: 116.6410650281618, Green Right Cheek: 109.54119425547997
Frame 140, Green Left Cheek: 116.66794674859192, Green Right Cheek: 109.5275888133031
Frame 141, Green Left Cheek: 116.68458781362007, Green Right Cheek: 109.52632905013857
Frame 142, Green Left Cheek: 116.61290322580645, Green Right Cheek: 109.59007306626354
Frame 143, Green Left Cheek: 116.57066052227343, Green Right Cheek: 109.59536407155454
Frame 144, Green Left Cheek: 116.59498207885305, Green Right Cheek: 109.67296548248929
Frame 145, Green Left Cheek: 116.57501280081925, Green Right Cheek: 109.69564121945075
Frame 146, Green Left Cheek: 116.54045058883769, Green Right Cheek: 109.74527588813304
Frame 147, Green Left Cheek: 116.66308243727599, Green Right Cheek: 109.70723104056438
Frame 148, Green Left Cheek: 116.67818740399386, Green Right Cheek: 109.70269589317208
Frame 149, Green Left Cheek: 116.70174091141833, Green Right Cheek: 109.66969009826153
Frame 150, Green Left Cheek: 116.78750640040963, Green Right Cheek: 109.67724867724868
Frame 151, Green Left Cheek: 116.68996415770609, Green Right Cheek: 109.67699672461578
Frame 152, Green Left Cheek: 116.68177163338454, Green Right Cheek: 109.63139329805996
Frame 153, Green Left Cheek: 116.68766001024065, Green Right Cheek: 109.6124968505921
Frame 154, Green Left Cheek: 116.68202764976958, Green Right Cheek: 109.52683295540439
Frame 155, Green Left Cheek: 116.64669738863287, Green Right Cheek: 109.49181153943059
Frame 156, Green Left Cheek: 116.70097286226319, Green Right Cheek: 109.44998740236835
Frame 157, Green Left Cheek: 116.68407578084998, Green Right Cheek: 109.40589569160997
Frame 158, Green Left Cheek: 116.72913466461854, Green Right Cheek: 109.331569664903
